"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
0,0,0,0,0,0,0,0,0,0,0,0,20221023 184001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 185001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 190001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 191001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 192001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 193001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 194001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 195001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 200001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 201002
0,0,0,0,0,0,0,0,0,0,0,0,20221023 202001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 203001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 204001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 205001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 210001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 211001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 212001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 213001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 214001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 215001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 220001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 221001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 222001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 223002
0,0,0,0,0,0,0,0,0,0,0,0,20221023 224001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 225001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 230001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 231001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 232001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 233001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 234001
0,0,0,0,0,0,0,0,0,0,0,0,20221023 235001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 000001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 001001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 002001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 003001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 004001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 005001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 010001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 011001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 012001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 013001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 014001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 015001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 020001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 021001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 022001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 023001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 024001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 025001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 030001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 031001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 032001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 033001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 034001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 035001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 040001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 041001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 042001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 043001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 044001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 045001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 050001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 051001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 052001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 053001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 054001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 055001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 060001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 061002
0,0,0,0,0,0,0,0,0,0,0,0,20221024 062001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 063002
0,0,0,0,0,0,0,0,0,0,0,0,20221024 064001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 065001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 070001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 071001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 072001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 073001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 074001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 075001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 080001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 081001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 082001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 083001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 084001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 085002
0,0,0,0,0,0,0,0,0,0,0,0,20221024 090001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 091001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 092001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 093001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 094001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 095001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 100001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 101001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 102002
0,0,0,0,0,0,0,0,0,0,0,0,20221024 103001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 104001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 105001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 110001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 111001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 112001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 113001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 114001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 115001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 120001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 121001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 122001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 123001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 124001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 125001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 130001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 131001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 132001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 133001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 134001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 135001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 140001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 141001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 142001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 143001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 144001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 145001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 150001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 151001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 152001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 153001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 154001
0,0,0,0,0,0,0,0,0,0,0,0,20221024 155001
